latitude,longitude,gold_present,rock_type,rock_code,rock_favorability,is_intrusive,is_metamorphic,is_sedimentary,is_volcanic,clay_gridcode,clay_percent,soil_depth_code,soil_depth_class,dist_to_faults_m,inv_dist_faults,dist_to_dykes_m,inv_dist_dykes,dist_to_deposits_m,inv_dist_deposits,dist_to_rivers_m,inv_dist_rivers,structural_corridor
-19.853314826107198,17.25866046675042,0,clastic metasediments/interbedded marble,NSW,1.0,0,1,0,0,7.0,,17.0,17.0,28154.615353333695,3.5516893786574534e-05,64463.132414996195,1.5512502263465993e-05,13492.142379722365,7.41117207436283e-05,32475.224122937667,3.079175695470426e-05,5.509558952555187e-10
-19.853314826107198,17.358660466750422,0,pelitic rocks,NKs,0.2,0,0,0,0,6.0,,16.0,16.0,18064.10468993638,5.53553393220619e-05,60628.04039811073,1.6493746122875485e-05,3147.6300474378436,0.0003175984427937912,27213.038766186608,3.674574026265069e-05,9.130169133237153e-10
-19.853314826107198,17.45866046675042,0,pelitic rocks,NKs,0.2,0,0,0,0,6.0,,19.0,19.0,8911.994659389255,0.0001121957364741115,58449.136284344764,1.7108599972038718e-05,7574.066056148886,0.00013201205013760548,23784.34660814479,4.204269193443542e-05,1.9195119739038475e-09
-19.853314826107198,17.558660466750418,0,clastic metasediments/interbedded marble,NDA,1.0,0,1,0,0,7.0,,17.0,17.0,1623.5206952207443,0.0006155661808076364,58113.37883284539,1.7207445387591665e-05,18012.711064780102,5.551326966463738e-05,20929.476852550197,4.777722012951457e-05,1.0592321438695782e-08
-19.853314826107198,17.65866046675042,0,marble,NKb,0.2,0,0,0,0,5.0,,17.0,17.0,5344.60531373319,0.00018706955364454952,59652.27586353653,1.6763538724807177e-05,14363.04868024959,6.961825473168919e-05,13661.63982804277,7.319229757835563e-05,3.1359477067527996e-09
-19.853314826107198,17.75866046675042,0,pelitic rocks,NKs,0.2,0,0,0,0,7.0,,17.0,17.0,7376.7559423554885,0.00013554256982926586,62928.8204090941,1.5890717524683866e-05,6004.352584689331,0.00016651811628005052,3202.3802909300234,0.00031217024180094284,2.153868689726602e-09
-19.853314826107198,17.85866046675042,0,clastic metasediments/interbedded marble,NSW,1.0,0,1,0,0,5.0,,16.0,16.0,1727.5109079395982,0.0005785326522422758,66213.5190108162,1.5102427910661846e-05,7529.331431460591,0.0001327962798320072,6788.7741099216655,0.0001472803047363143,8.737247674452969e-09
-19.853314826107198,17.958660466750416,0,sandstone/quartzite,NNS,0.2,0,0,1,0,6.0,,18.0,18.0,225.56310234435657,0.004413781368865992,70126.10229626244,1.425982205532107e-05,15363.161165638865,6.50865341243912e-05,17111.608203975018,5.8436445694333966e-05,6.29397369111205e-08
-19.853314826107198,18.058660466750418,0,unconsolidated to semi-consolidated sediments,JEj_uc,0.2,0,0,0,0,4.0,,19.0,19.0,3122.4253690931373,0.0003201613234928493,74989.27111375473,1.3335063137497843e-05,25203.978048522353,3.967470227805357e-05,20976.753751221564,4.7669546122962215e-05,4.269371462962016e-09
-19.853314826107198,18.15866046675042,0,unconsolidated to semi-consolidated sediments,JEj_uc,0.2,0,0,0,0,5.0,,16.0,16.0,6076.881483891566,0.00016453101342142604,80930.7363648836,1.2356092244103903e-05,35417.32602340447,2.8233971287609663e-05,20772.833624606505,4.813747996977818e-05,2.0329603788510375e-09
